,coef
EGFL6,0.12343632832086887
TYROBP,0.09531200150216174
GPR183,0.09408104672836799
LYZ,0.08016710446585154
AZGP1,-0.07864182388618163
TIMP1,0.07617254132336516
CA3,-0.07509185283373253
MFAP5,0.07270777558028403
TNMD,0.06647596489912902
C1QB,0.0626387565376911
LCP1,0.06115623524234435
F13A1,0.060141868772967934
CTSS,0.05852005858062859
MMP9,0.057217022862238606
SPP1,0.056593019816095484
SLC27A2,-0.055074749679676245
CPVL,0.0546384468069561
MPEG1,0.05446474598528479
CD52,0.05434235698644444
STMN2,0.0533867756036309
SFRP4,0.053223610474281695
CD14,0.05195342649335734
EMP3,0.05167710138294744
PTPRZ1,0.05113483488241237
C1QC,0.05065402489195434
CTGF,0.050504142767601276
VSIG4,0.049567272710221814
MNDA,0.04942118620188405
CCL8,0.04921038752718384
EGR2,0.04896162765884176
MRC1,0.04836843726547489
FCER1G,0.04800949339429327
MXRA5,0.04755932637884958
CCL4,0.046592462166047836
PLVAP,0.046327818919652125
CHI3L1,0.04620125031266446
CXCL2,0.04594370480736123
CXCL8,0.04579225573447165
GPR137B,0.045655382437417145
HSD11B1,0.04542796426119618
CSGALNACT1,0.044953075949242326
DHRS9,0.04450726939414213
TNFRSF11B,0.04434904760324524
C1QA,0.044107406128455276
LYVE1,0.043853977849806075
PLA2G7,0.043772014326497105
EVI2B,0.043707085569311986
PKP2,-0.043208121449495755
PHLDA2,0.043095921736488046
NDRG4,-0.0430923926701245
COL6A2,0.042991666335609115
TYMP,0.042968865064508976
FGF1,0.04296766328859698
BICC1,0.042961181021447366
WISP2,0.04294514539602997
NOTCH3,0.042281962252081265
CTHRC1,0.042098286734777286
SCIN,0.04188244399769135
